id,disease,location,hospital_name,age_group,treatment_type,budget,total_patient,successful_patients,success_rate,rating
7641,Diabetes,Tarn Taran,Tarn Taran Multicare Hospital,Child,Chemotherapy,335832,4487,2871,63.98,3.1
7642,Malaria,Moga,Moga Multicare Hospital,Child,ICU Care,498351,2578,1908,74.01,4.0
7643,COVID-19,Mohali,Mohali Multicare Hospital,Young Adult,Dialysis,242801,426,271,63.62,3.7
7644,Asthma,Mansa,Mansa Health Centre,Adult,Medication,40010,436,369,84.63,3.4
7645,Tuberculosis,Barnala,Barnala City Hospital,Young Adult,Counselling,260008,729,531,72.84,3.7
7646,Cancer,Pathankot,Pathankot City Hospital,Child,ICU Care,86680,3229,2274,70.42,4.1
7647,Tuberculosis,Muktsar,Muktsar Prime Healthcare,Adult,Counselling,322443,52,44,84.62,4.2
7648,Kidney Disease,Firozpur,Firozpur City Hospital,Adult,Counselling,435312,3230,1959,60.65,4.0
7649,Dengue,Moga,Moga Prime Healthcare,Child,Surgery,434842,4605,3145,68.3,3.9
7650,Hypertension,Bathinda,Bathinda Advanced Hospital,Senior Citizen,Medication,257085,2615,2598,99.35,3.6
7651,Kidney Disease,Pathankot,Pathankot Multicare Hospital,Teenager,Medication,311792,4089,3111,76.08,3.1
7652,Dengue,Hoshiarpur,Hoshiarpur Life Care Centre,Teenager,Surgery,142285,4787,4643,96.99,5.0
7653,Cancer,Bathinda,Bathinda Life Care Centre,Middle Age,Vaccination,308492,823,757,91.98,4.2
7654,Tuberculosis,Patiala,Patiala General Hospital,Senior Citizen,Vaccination,290983,3588,2598,72.41,3.1
7655,Arthritis,Faridkot,Faridkot Multicare Hospital,Middle Age,Vaccination,495886,2341,2087,89.15,4.2
7656,Dengue,Mohali,Mohali Multispeciality Hospital,Middle Age,Counselling,353318,1304,1128,86.5,4.4
7657,Diabetes,Fazilka,Fazilka Health Centre,Child,Chemotherapy,424304,2914,2843,97.56,2.6
7658,Tuberculosis,Abohar,Abohar Prime Hospital,Adult,Chemotherapy,138148,2424,2085,86.01,2.7
7659,Malaria,Ludhiana,Ludhiana Life Hospital,Teenager,Radiotherapy,297303,4525,3206,70.85,4.8
7660,Typhoid,Nawanshahr,Nawanshahr Health Centre,Senior Citizen,Physiotherapy,495619,3759,3161,84.09,3.8
7661,Diabetes,Hoshiarpur,Hoshiarpur Health Centre,Adult,Counselling,442947,1589,1093,68.79,4.8
7662,Kidney Disease,Fazilka,Fazilka City Hospital,Child,Vaccination,352156,3931,2534,64.46,4.7
7663,Cancer,Muktsar,Muktsar Prime Healthcare,Child,Surgery,8547,1900,1431,75.32,2.6
7664,Malaria,Ludhiana,Ludhiana Advanced Medical Centre,Teenager,Vaccination,39628,4130,3114,75.4,3.3
7665,Typhoid,Gurdaspur,Gurdaspur City Hospital,Senior Citizen,Counselling,39787,4162,3054,73.38,4.1
7666,Arthritis,Amritsar,Amritsar Health Hospital,Child,Medication,399089,175,116,66.29,3.1
7667,COVID-19,Ludhiana,Ludhiana Health Point,Child,Radiotherapy,437302,4535,3926,86.57,2.5
7668,Hypertension,Amritsar,Amritsar City Hospital,Senior Citizen,Chemotherapy,442602,4725,3166,67.01,2.8
7669,Liver Disease,Khanna,Khanna City Hospital,Teenager,Emergency Care,407580,4080,2749,67.38,3.2
7670,COVID-19,Pathankot,Pathankot Prime Hospital,Adult,Radiotherapy,173979,3141,2038,64.88,3.8
7671,Dengue,Malerkotla,Malerkotla Multicare Hospital,Middle Age,Counselling,471347,858,705,82.17,4.8
7672,Asthma,Tarn Taran,Tarn Taran Health Centre,Adult,Dialysis,330602,3680,2841,77.2,3.7
7673,Pneumonia,Ludhiana,Ludhiana City Hospital,Middle Age,Emergency Care,394090,1022,921,90.12,3.0
7674,Malaria,Khanna,Khanna City Hospital,Middle Age,Chemotherapy,121801,4327,2864,66.19,4.6
7675,Dengue,Barnala,Barnala Multicare Hospital,Child,Counselling,251470,4430,3958,89.35,4.5
7676,Kidney Disease,Rupnagar,Rupnagar Prime Hospital,Child,Physiotherapy,202654,3352,2853,85.11,4.2
7677,Dengue,Rupnagar,Rupnagar City Hospital,Senior Citizen,Counselling,447454,4691,4600,98.06,2.9
7678,Malaria,Abohar,Abohar Prime Hospital,Adult,Medication,358931,4165,4161,99.9,4.1
7679,Tuberculosis,Abohar,Abohar Prime Hospital,Adult,Radiotherapy,490660,4465,4180,93.62,3.6
7680,Typhoid,Nawanshahr,Nawanshahr Prime Healthcare,Senior Citizen,Dialysis,319815,3850,3314,86.08,3.6
7681,Cancer,Hoshiarpur,Hoshiarpur Life Care Centre,Senior Citizen,ICU Care,13217,371,340,91.64,3.3
7682,Kidney Disease,Malerkotla,Malerkotla Prime Healthcare,Teenager,Chemotherapy,348752,2083,2048,98.32,3.7
7683,Asthma,Pathankot,Pathankot Life Care Centre,Young Adult,Emergency Care,409922,2364,2125,89.89,2.7
7684,Dengue,Khanna,Khanna Health Centre,Adult,ICU Care,267201,3362,2708,80.55,3.6
7685,Cancer,Mansa,Mansa Health Centre,Middle Age,Dialysis,142110,3348,2014,60.16,4.4
7686,Hypertension,Moga,Moga Health Centre,Adult,Chemotherapy,75935,596,420,70.47,3.0
7687,Kidney Disease,Tarn Taran,Tarn Taran Multicare Hospital,Adult,ICU Care,311072,1421,1372,96.55,3.8
7688,COVID-19,Amritsar,Amritsar Multicare Hospital,Senior Citizen,Physiotherapy,313502,2888,2415,83.62,4.4
7689,Liver Disease,Muktsar,Muktsar Prime Healthcare,Teenager,Medication,273470,4331,3698,85.38,3.0
7690,Typhoid,Khanna,Khanna City Hospital,Middle Age,Counselling,385430,610,579,94.92,4.2
7691,Dengue,Nawanshahr,Nawanshahr City Hospital,Teenager,Chemotherapy,364131,730,615,84.25,4.4
7692,Pneumonia,Pathankot,Pathankot Multicare Hospital,Middle Age,Surgery,300153,4080,3083,75.56,4.7
7693,Cancer,Mansa,Mansa City Hospital,Middle Age,Radiotherapy,288762,3302,2980,90.25,2.8
7694,Arthritis,Abohar,Abohar Prime Hospital,Teenager,Radiotherapy,324631,4378,3918,89.49,3.3
7695,Asthma,Rupnagar,Rupnagar Prime Hospital,Young Adult,Chemotherapy,226508,3111,1962,63.07,4.9
7696,Dengue,Gurdaspur,Gurdaspur City Hospital,Teenager,Vaccination,243631,1512,1179,77.98,2.5
7697,Heart Disease,Nawanshahr,Nawanshahr Prime Healthcare,Middle Age,Emergency Care,34782,732,565,77.19,2.9
7698,Malaria,Patiala,Patiala Life Care Hospital,Adult,Vaccination,240311,556,349,62.77,4.2
7699,Kidney Disease,Nawanshahr,Nawanshahr City Hospital,Adult,Surgery,248671,960,579,60.31,3.2
7700,Liver Disease,Faridkot,Faridkot Life Care Centre,Middle Age,Physiotherapy,380612,419,372,88.78,4.5
7701,Heart Disease,Fazilka,Fazilka City Hospital,Teenager,Surgery,132031,907,828,91.29,4.0
7702,Tuberculosis,Barnala,Barnala City Hospital,Child,Chemotherapy,486736,2609,2353,90.19,2.8
7703,Typhoid,Tarn Taran,Tarn Taran City Hospital,Teenager,Radiotherapy,52132,4002,3848,96.15,3.1
7704,Dengue,Jalandhar,Jalandhar Health Point,Young Adult,Dialysis,162303,2734,1815,66.39,4.5
7705,Malaria,Mohali,Mohali Health Centre,Teenager,Dialysis,195933,4858,3067,63.13,3.5
7706,Hypertension,Firozpur,Firozpur Life Care Hospital,Young Adult,Vaccination,217951,1634,1004,61.44,4.2
7707,Asthma,Barnala,Barnala Health Centre,Middle Age,Vaccination,379857,2570,2360,91.83,3.3
7708,Thyroid Disorder,Ludhiana,Ludhiana Advanced Medical Centre,Young Adult,Radiotherapy,114467,2717,1997,73.5,4.7
7709,Hypertension,Faridkot,Faridkot City Hospital,Middle Age,Surgery,221646,3047,2301,75.52,3.5
7710,Arthritis,Mansa,Mansa City Hospital,Adult,Vaccination,326561,3548,3408,96.05,4.4
7711,Kidney Disease,Muktsar,Muktsar Prime Healthcare,Senior Citizen,Surgery,436100,1753,1322,75.41,2.7
7712,Pneumonia,Faridkot,Faridkot Health Centre,Young Adult,ICU Care,495997,3598,2720,75.6,4.4
7713,Asthma,Jalandhar,Jalandhar Life Care Hospital,Young Adult,Medication,304232,191,147,76.96,3.0
7714,Malaria,Moga,Moga City Hospital,Middle Age,Radiotherapy,25592,3151,2317,73.53,4.0
7715,Cancer,Nawanshahr,Nawanshahr Multicare Hospital,Senior Citizen,Vaccination,195835,855,617,72.16,2.9
7716,Diabetes,Mansa,Mansa City Hospital,Child,Radiotherapy,329131,4824,3106,64.39,4.7
7717,Arthritis,Sangrur,Sangrur Multicare Hospital,Teenager,ICU Care,144083,3917,3806,97.17,2.6
7718,Liver Disease,Nawanshahr,Nawanshahr City Hospital,Teenager,Medication,194987,448,423,94.42,2.7
7719,Asthma,Barnala,Barnala Health Centre,Middle Age,Physiotherapy,350408,2047,2047,100.0,3.5
7720,Asthma,Faridkot,Faridkot Life Care Centre,Teenager,ICU Care,229655,3009,2807,93.29,4.4
7721,COVID-19,Patiala,Patiala City Hospital,Middle Age,Physiotherapy,376345,2450,2057,83.96,4.4
7722,Arthritis,Bathinda,Bathinda Life Care Centre,Senior Citizen,Chemotherapy,6363,267,214,80.15,2.9
7723,Hypertension,Pathankot,Pathankot Life Care Centre,Middle Age,Chemotherapy,482847,1442,1139,78.99,3.4
7724,Liver Disease,Sangrur,Sangrur Prime Healthcare,Child,Emergency Care,241005,3326,2245,67.5,4.2
7725,Diabetes,Rupnagar,Rupnagar Prime Hospital,Adult,Counselling,429535,749,497,66.36,3.7
7726,Asthma,Nawanshahr,Nawanshahr Health Centre,Teenager,Dialysis,301222,1056,760,71.97,4.3
7727,Hypertension,Moga,Moga Health Centre,Young Adult,Chemotherapy,189667,3587,2495,69.56,4.3
7728,COVID-19,Kapurthala,Kapurthala Prime Healthcare,Teenager,Radiotherapy,190623,230,172,74.78,4.3
7729,Liver Disease,Abohar,Abohar City Hospital,Young Adult,Surgery,144701,3706,3585,96.74,3.7
7730,Heart Disease,Sangrur,Sangrur Life Care Centre,Middle Age,Counselling,287203,1468,959,65.33,3.8
7731,Pneumonia,Bathinda,Bathinda Multicare Hospital,Adult,ICU Care,89435,842,709,84.2,3.0
7732,Typhoid,Bathinda,Bathinda Life Care Centre,Child,Chemotherapy,279299,3583,3464,96.68,3.2
7733,Thyroid Disorder,Abohar,Abohar Prime Hospital,Teenager,Physiotherapy,380725,1380,1050,76.09,4.8
7734,Heart Disease,Bathinda,Bathinda Multicare Hospital,Adult,Chemotherapy,242500,4606,4247,92.21,3.0
7735,Heart Disease,Fazilka,Fazilka City Hospital,Young Adult,Radiotherapy,59540,2455,1823,74.26,5.0
7736,Malaria,Fazilka,Fazilka Prime Hospital,Middle Age,Radiotherapy,254988,2894,1751,60.5,3.2
7737,COVID-19,Mansa,Mansa Multicare Hospital,Child,Emergency Care,227433,2607,2003,76.83,3.2
7738,Tuberculosis,Jalandhar,Jalandhar Care Hospital,Adult,Counselling,162049,325,293,90.15,4.2
7739,Asthma,Mohali,Mohali Prime Medical Centre,Teenager,Counselling,134353,1100,797,72.45,3.2
7740,Arthritis,Gurdaspur,Gurdaspur Life Care Hospital,Teenager,Radiotherapy,386088,3115,2112,67.8,3.9
7741,Tuberculosis,Rupnagar,Rupnagar Multicare Hospital,Child,ICU Care,346884,4995,3917,78.42,3.7
7742,Heart Disease,Gurdaspur,Gurdaspur Prime Healthcare,Senior Citizen,ICU Care,416137,1040,1004,96.54,3.3
7743,Thyroid Disorder,Mansa,Mansa City Hospital,Adult,Vaccination,98285,2886,1732,60.01,2.8
7744,Heart Disease,Sangrur,Sangrur Health Centre,Child,Radiotherapy,107335,3724,3142,84.37,5.0
7745,Malaria,Gurdaspur,Gurdaspur Life Care Hospital,Young Adult,ICU Care,490504,3948,2705,68.52,3.2
7746,Heart Disease,Gurdaspur,Gurdaspur Life Care Hospital,Adult,Surgery,187711,1458,1405,96.36,4.7
7747,Diabetes,Khanna,Khanna Health Centre,Young Adult,Vaccination,293119,1143,1057,92.48,2.6
7748,Kidney Disease,Kapurthala,Kapurthala City Hospital,Teenager,Medication,384881,3932,3672,93.39,3.8
7749,Kidney Disease,Amritsar,Amritsar General Care Hospital,Teenager,Physiotherapy,23878,4803,4575,95.25,2.8
7750,Diabetes,Mohali,Mohali City Hospital,Senior Citizen,Counselling,148520,1231,838,68.07,4.1
7751,Typhoid,Khanna,Khanna Multicare Hospital,Middle Age,Surgery,115928,456,313,68.64,3.7
7752,Liver Disease,Rupnagar,Rupnagar Health Centre,Middle Age,Medication,92831,2631,1755,66.7,2.6
7753,Heart Disease,Khanna,Khanna Health Centre,Adult,Counselling,299351,1165,1131,97.08,3.4
7754,Tuberculosis,Mansa,Mansa Health Centre,Middle Age,Radiotherapy,491730,1784,1242,69.62,3.6
7755,Heart Disease,Ludhiana,Ludhiana Multicare Hospital,Teenager,Radiotherapy,30776,4563,2746,60.18,4.6
7756,Cancer,Mansa,Mansa Prime Hospital,Child,Medication,127147,3991,3975,99.6,3.8
7757,Arthritis,Muktsar,Muktsar City Hospital,Young Adult,Medication,474884,3161,3006,95.1,3.3
7758,Diabetes,Firozpur,Firozpur Prime Medical Centre,Middle Age,ICU Care,472034,4654,4422,95.02,4.0
7759,Cancer,Rupnagar,Rupnagar Health Centre,Child,ICU Care,176214,1009,788,78.1,2.7
7760,Cancer,Mohali,Mohali Advanced Hospital,Middle Age,Vaccination,485449,3189,2006,62.9,2.6
7761,COVID-19,Rupnagar,Rupnagar Prime Hospital,Young Adult,Counselling,152146,947,620,65.47,4.4
7762,Liver Disease,Patiala,Patiala Life Care Hospital,Child,Chemotherapy,217732,2472,2335,94.46,4.8
7763,Asthma,Malerkotla,Malerkotla Prime Healthcare,Adult,Physiotherapy,370372,2867,1763,61.49,4.4
7764,Liver Disease,Bathinda,Bathinda Multicare Hospital,Middle Age,Vaccination,270363,2337,1935,82.8,4.2
7765,COVID-19,Gurdaspur,Gurdaspur Health Centre,Teenager,Counselling,493244,3667,3307,90.18,4.8
7766,Hypertension,Sangrur,Sangrur Prime Healthcare,Young Adult,Radiotherapy,497592,1558,1514,97.18,4.2
7767,Thyroid Disorder,Faridkot,Faridkot Life Care Centre,Middle Age,Dialysis,426107,4022,2580,64.15,4.5
7768,Cancer,Firozpur,Firozpur Prime Medical Centre,Senior Citizen,Emergency Care,32060,414,367,88.65,5.0
7769,COVID-19,Nawanshahr,Nawanshahr City Hospital,Senior Citizen,Medication,126729,3052,2217,72.64,3.0
7770,Liver Disease,Pathankot,Pathankot Multicare Hospital,Teenager,Surgery,332950,3901,2707,69.39,3.0
7771,Arthritis,Amritsar,Amritsar Advanced Hospital,Senior Citizen,Surgery,200482,2675,2493,93.2,3.6
7772,Cancer,Patiala,Patiala Prime Healthcare,Teenager,ICU Care,249464,512,403,78.71,2.8
7773,Heart Disease,Faridkot,Faridkot Multicare Hospital,Child,Surgery,447541,4325,4151,95.98,3.8
7774,Pneumonia,Faridkot,Faridkot Life Care Centre,Middle Age,Surgery,332135,1261,1127,89.37,4.3
7775,Tuberculosis,Faridkot,Faridkot Life Care Centre,Child,Emergency Care,112630,1956,1576,80.57,4.1
7776,Kidney Disease,Sangrur,Sangrur Multicare Hospital,Child,Radiotherapy,121931,772,574,74.35,4.5
7777,Arthritis,Gurdaspur,Gurdaspur City Hospital,Senior Citizen,Medication,371972,810,776,95.8,3.9
7778,Diabetes,Patiala,Patiala City Hospital,Adult,Chemotherapy,296100,1398,1023,73.18,3.2
7779,Heart Disease,Gurdaspur,Gurdaspur Health Centre,Adult,Dialysis,410306,2225,1917,86.16,4.6
7780,Cancer,Faridkot,Faridkot City Hospital,Middle Age,Counselling,332876,4154,2738,65.91,4.1
7781,Malaria,Muktsar,Muktsar Multicare Hospital,Young Adult,Surgery,240999,4949,3199,64.64,3.4
7782,Liver Disease,Pathankot,Pathankot Prime Hospital,Middle Age,Medication,472929,1799,1355,75.32,3.4
7783,Kidney Disease,Abohar,Abohar Multicare Hospital,Middle Age,Chemotherapy,20004,2373,2054,86.56,3.2
7784,Liver Disease,Fazilka,Fazilka City Hospital,Child,Medication,8009,3461,3277,94.68,3.3
7785,Liver Disease,Nawanshahr,Nawanshahr City Hospital,Middle Age,Chemotherapy,103674,1611,1053,65.36,3.5
7786,Dengue,Rupnagar,Rupnagar Health Centre,Adult,Radiotherapy,14022,1996,1921,96.24,2.6
7787,Tuberculosis,Moga,Moga City Hospital,Middle Age,Counselling,302209,271,245,90.41,4.9
7788,Kidney Disease,Gurdaspur,Gurdaspur City Hospital,Child,Medication,201875,3715,2454,66.06,2.6
7789,Liver Disease,Patiala,Patiala General Hospital,Adult,Dialysis,56354,194,157,80.93,4.0
7790,Dengue,Amritsar,Amritsar General Care Hospital,Young Adult,Chemotherapy,384753,4136,3073,74.3,3.9
7791,COVID-19,Moga,Moga Multicare Hospital,Middle Age,Chemotherapy,316400,1591,1041,65.43,3.8
7792,Dengue,Malerkotla,Malerkotla Prime Healthcare,Senior Citizen,Dialysis,139262,4676,3308,70.74,3.1
7793,Arthritis,Mansa,Mansa City Hospital,Teenager,Vaccination,276167,4541,3776,83.15,4.3
7794,Cancer,Amritsar,Amritsar Health Plus,Senior Citizen,ICU Care,462800,3129,2365,75.58,2.9
7795,Diabetes,Jalandhar,Jalandhar Healthcare Hospital,Senior Citizen,Chemotherapy,16994,4068,3725,91.57,4.4
7796,COVID-19,Patiala,Patiala General Hospital,Adult,Physiotherapy,135851,1465,1213,82.8,3.3
7797,Hypertension,Fazilka,Fazilka City Hospital,Senior Citizen,Counselling,345933,1002,685,68.36,4.3
7798,Hypertension,Mansa,Mansa Prime Hospital,Young Adult,Surgery,291008,291,231,79.38,5.0
7799,Heart Disease,Gurdaspur,Gurdaspur Multicare Hospital,Young Adult,Vaccination,250522,3611,3599,99.67,4.5
7800,Pneumonia,Amritsar,Amritsar Health Hospital,Senior Citizen,Physiotherapy,426777,2877,2634,91.55,4.7
7801,Hypertension,Faridkot,Faridkot Prime Hospital,Teenager,Dialysis,139544,2493,2390,95.87,3.4
7802,Liver Disease,Firozpur,Firozpur Prime Medical Centre,Senior Citizen,Dialysis,50992,4924,3754,76.24,2.7
7803,Malaria,Rupnagar,Rupnagar City Hospital,Child,Radiotherapy,19707,4862,2960,60.88,3.3
7804,Pneumonia,Tarn Taran,Tarn Taran Multicare Hospital,Middle Age,Vaccination,94109,3114,2164,69.49,4.6
7805,Asthma,Sangrur,Sangrur Multicare Hospital,Middle Age,Counselling,244469,1828,1692,92.56,4.9
7806,Typhoid,Khanna,Khanna City Hospital,Adult,Vaccination,394564,3345,3002,89.75,3.4
7807,Pneumonia,Bathinda,Bathinda Advanced Hospital,Senior Citizen,Radiotherapy,100281,165,129,78.18,2.8
7808,Liver Disease,Faridkot,Faridkot Prime Hospital,Middle Age,Emergency Care,9747,3362,2727,81.11,4.5
7809,Heart Disease,Jalandhar,Jalandhar City Hospital,Young Adult,Dialysis,401941,528,519,98.3,3.7
7810,Dengue,Kapurthala,Kapurthala Health Centre,Teenager,Dialysis,27345,3503,3148,89.87,2.6
7811,Heart Disease,Patiala,Patiala Multicare Hospital,Adult,Surgery,405565,3477,2936,84.44,2.9
7812,Tuberculosis,Nawanshahr,Nawanshahr Health Centre,Teenager,Vaccination,5641,745,683,91.68,5.0
7813,Malaria,Mansa,Mansa Health Centre,Adult,Dialysis,181040,4186,2648,63.26,4.6
7814,Arthritis,Hoshiarpur,Hoshiarpur City Hospital,Adult,Surgery,104568,2798,2210,78.98,4.8
7815,Hypertension,Mansa,Mansa City Hospital,Senior Citizen,ICU Care,72114,1801,1287,71.46,4.1
7816,Cancer,Bathinda,Bathinda Medical Point,Child,Medication,92069,2706,2079,76.83,2.6
7817,Typhoid,Malerkotla,Malerkotla Prime Healthcare,Senior Citizen,Radiotherapy,13951,3762,2449,65.1,3.9
7818,Asthma,Abohar,Abohar Multicare Hospital,Teenager,Surgery,403550,685,585,85.4,3.5
7819,Tuberculosis,Abohar,Abohar Health Centre,Adult,Physiotherapy,445603,4601,4565,99.22,3.7
7820,Hypertension,Hoshiarpur,Hoshiarpur Life Care Centre,Middle Age,Radiotherapy,289649,1989,1436,72.2,3.4
7821,Hypertension,Rupnagar,Rupnagar Health Centre,Young Adult,Physiotherapy,435175,4858,3763,77.46,3.1
7822,Arthritis,Fazilka,Fazilka Prime Hospital,Child,Vaccination,206325,1640,1610,98.17,3.0
7823,Heart Disease,Ludhiana,Ludhiana Multicare Hospital,Teenager,Surgery,232563,4572,4203,91.93,4.5
7824,Diabetes,Ludhiana,Ludhiana Advanced Medical Centre,Child,ICU Care,86758,735,612,83.27,3.3
7825,Thyroid Disorder,Gurdaspur,Gurdaspur City Hospital,Teenager,Dialysis,57654,1511,1012,66.98,3.9
7826,Asthma,Hoshiarpur,Hoshiarpur Life Care Centre,Young Adult,Medication,453202,688,652,94.77,3.9
7827,Pneumonia,Jalandhar,Jalandhar Health Point,Senior Citizen,Dialysis,335039,3045,2796,91.82,4.7
7828,Thyroid Disorder,Malerkotla,Malerkotla Prime Healthcare,Middle Age,Vaccination,83927,2866,2131,74.35,3.5
7829,Typhoid,Patiala,Patiala City Hospital,Child,Physiotherapy,27651,1919,1463,76.24,4.9
7830,COVID-19,Abohar,Abohar Prime Hospital,Young Adult,Surgery,336381,3690,2911,78.89,3.5
7831,Asthma,Nawanshahr,Nawanshahr Health Centre,Child,Medication,495200,1118,764,68.34,3.2
7832,Asthma,Mohali,Mohali Advanced Hospital,Adult,Surgery,215983,3204,2559,79.87,3.1
7833,COVID-19,Hoshiarpur,Hoshiarpur Life Care Centre,Teenager,Dialysis,485306,742,676,91.11,4.1
7834,Hypertension,Mohali,Mohali City Hospital,Child,Dialysis,74984,1374,1276,92.87,4.4
7835,COVID-19,Amritsar,Amritsar Prime Healthcare,Child,Vaccination,430639,3909,3223,82.45,4.1
7836,Cancer,Bathinda,Bathinda Health Centre,Senior Citizen,Surgery,386521,815,744,91.29,4.8
7837,Hypertension,Abohar,Abohar Health Centre,Child,Surgery,26035,989,608,61.48,4.9
7838,Diabetes,Gurdaspur,Gurdaspur Prime Healthcare,Child,Dialysis,102485,433,338,78.06,4.0
7839,Kidney Disease,Barnala,Barnala Prime Hospital,Adult,Dialysis,51633,220,157,71.36,3.9
7840,Asthma,Nawanshahr,Nawanshahr Multicare Hospital,Adult,Physiotherapy,76018,3813,3732,97.88,4.4
7841,Thyroid Disorder,Pathankot,Pathankot Life Care Centre,Teenager,Counselling,9278,1414,1196,84.58,4.5
7842,Pneumonia,Mohali,Mohali Life Care Hospital,Middle Age,ICU Care,290418,232,201,86.64,4.4
7843,Malaria,Sangrur,Sangrur Life Care Centre,Senior Citizen,Vaccination,192117,3840,3272,85.21,4.5
7844,Asthma,Faridkot,Faridkot Multicare Hospital,Middle Age,Dialysis,317539,1395,939,67.31,3.1
7845,Heart Disease,Pathankot,Pathankot City Hospital,Senior Citizen,Radiotherapy,184568,1987,1457,73.33,3.6
7846,Hypertension,Rupnagar,Rupnagar City Hospital,Adult,Medication,386193,4222,3076,72.86,4.2
7847,Kidney Disease,Mansa,Mansa City Hospital,Teenager,Physiotherapy,90644,1798,1736,96.55,4.3
7848,Cancer,Khanna,Khanna Multicare Hospital,Middle Age,Radiotherapy,150980,3769,3628,96.26,4.5
7849,Kidney Disease,Kapurthala,Kapurthala Multicare Hospital,Young Adult,Vaccination,413054,2592,2171,83.76,4.9
7850,Heart Disease,Jalandhar,Jalandhar Health Point,Child,Dialysis,247991,1200,1037,86.42,4.4
7851,Heart Disease,Jalandhar,Jalandhar Health Point,Adult,Medication,256474,576,401,69.62,3.0
7852,Pneumonia,Rupnagar,Rupnagar City Hospital,Teenager,ICU Care,72972,3660,3021,82.54,4.5
7853,Hypertension,Khanna,Khanna Prime Healthcare,Teenager,Chemotherapy,389491,4974,3704,74.47,3.3
7854,Thyroid Disorder,Moga,Moga Health Centre,Young Adult,Counselling,413042,965,685,70.98,3.6
7855,Arthritis,Amritsar,Amritsar Medical Point,Adult,Emergency Care,339782,1833,1160,63.28,4.9
7856,Kidney Disease,Khanna,Khanna Prime Healthcare,Child,Chemotherapy,452184,1801,1341,74.46,3.5
7857,Diabetes,Barnala,Barnala Health Centre,Senior Citizen,Emergency Care,185177,1787,1648,92.22,2.8
7858,Arthritis,Nawanshahr,Nawanshahr City Hospital,Senior Citizen,Counselling,104773,4547,3051,67.1,3.8
7859,Kidney Disease,Khanna,Khanna City Hospital,Senior Citizen,Chemotherapy,468131,2675,1631,60.97,3.6
7860,Kidney Disease,Nawanshahr,Nawanshahr Multicare Hospital,Senior Citizen,Dialysis,183114,139,106,76.26,2.6
